cname,cvalue,ctype,cdesc,Deprecated
alluxio.conf.dynamic.update.enabled,Whether to support dynamic update property.,STRING,,false
alluxio.debug,Set to true to enable debug mode which has additional logging and info in the Web UI.,STRING,,false
alluxio.dora.client.metadata.cache.enabled,Whether to enable metadata cache for dora client. This is only valid for read only workloads.,STRING,,false
alluxio.dora.client.read.location.policy.enabled,Whether to use client side location policy for reading,UNKOWN,,false
alluxio.dora.client.ufs.root,UFS root for dora client,UNKOWN,,false
alluxio.dora.ufs.file.status.cache.size,The max size of the cache of UFS file status,UNKOWN,,false
alluxio.dora.ufs.file.status.cache.ttl,The TTL of the cache of UFS file status,UNKOWN,,false
alluxio.dora.ufs.list.status.cache.nr.dirs,Number of the file/dir cache of UFS list status results,UNKOWN,,false
alluxio.dora.ufs.list.status.cache.ttl,The TTL of the cache of UFS list status results,UNKOWN,,false
alluxio.dora.worker.metastore.rocksdb.block.index,"The block index type to be used in the RocksDB block metadata table. If unset, the RocksDB default will be used.See https://rocksdb.org/blog/2018/08/23/data-block-hash-index.html",STRING,,false
alluxio.dora.worker.metastore.rocksdb.bloom.filter,"Whether or not to use a bloom filter in the Block meta table in RocksDB. If unset, the RocksDB default will be used. See https://github.com/facebook/rocksdb/wiki/RocksDB-Bloom-Filter",STRING,,false
alluxio.dora.worker.metastore.rocksdb.cache.size,"The capacity in bytes of the RocksDB block metadata table LRU  cache. If unset, the RocksDB default will be used. See https://github.com/facebook/rocksdb/wiki/Block-Cache. Our microbench test shows that 1GB cache can double the metadata read operation performance for a meta store that persists 10M metadata entries. Note that the memory is off-heap and does not count in jvm memory.",STRING,,false
alluxio.dora.worker.metastore.rocksdb.dir,The base dir of RocksDB to store Dora metadata,UNKOWN,,false
alluxio.dora.worker.metastore.rocksdb.index,"The index type to be used in the RocksDB block metadata table. If unset, the RocksDB default will be used. See https://github.com/facebook/rocksdb/wiki/Index-Block-Format",STRING,,false
alluxio.dora.worker.metastore.rocksdb.ttl,The TTL (Time To Live) in duration of RocksDB of Dora metadata. 0s or negative value means no expiry,STRING,,false
alluxio.dora.worker.populate.metadata.fingerprint,"Populate the fingerprint for file metadata fetched from UFS If set, when the file metadata is updated, the fingerprints will be compared. If the file metadata is updated but the data part does not change, we can skip invalidating the page cache, at the expense of having extra overhead on computing the fingerprint for UFS files.",STRING,,false
alluxio.exit.collect.info,"If true, the process will dump metrics and jstack into the log folder. This only applies to Alluxio master and worker processes.",STRING,,false
alluxio.fuse.auth.policy.class,"The fuse auth policy class.  Valid options include: `alluxio.fuse.auth.LaunchUserGroupAuthPolicy` using the user launching the AlluxioFuse application to do authentication, `alluxio.fuse.auth.SystemUserGroupAuthPolicy` using the end-user running the fuse command to do authentication which matches POSIX standard but sacrifices performance, `alluxio.fuse.auth.CustomAuthPolicy` using the custom user group to do authentication.",STRING,,false
alluxio.fuse.auth.policy.custom.group,The fuse group name for custom auth policy. Only valid if the alluxio.fuse.auth.policy.class is alluxio.fuse.auth.CustomAuthPolicy,STRING,,false
alluxio.fuse.auth.policy.custom.user,The fuse user name for custom auth policy. Only valid if the alluxio.fuse.auth.policy.class is alluxio.fuse.auth.CustomAuthPolicy,STRING,,false
alluxio.fuse.cached.paths.max,Maximum number of FUSE-to-Alluxio path mappings to cache for FUSE conversion.,STRING,,false
alluxio.fuse.debug.enabled,"Run FUSE in debug mode, and have the fuse process log every FS request.",STRING,,false
alluxio.fuse.fs.name,The FUSE file system name.,STRING,,false
alluxio.fuse.jnifuse.enabled,"Use JNI-Fuse library for better performance. If disabled, JNR-Fuse will be used.",STRING,,false
alluxio.fuse.jnifuse.libfuse.version,"The version of libfuse used by libjnifuse. Libfuse2 (value=&quot;2&quot;) and Libfuse3 (value=&quot;3&quot;, default value) are supported.",STRING,,false
alluxio.fuse.logging.threshold,Logging a FUSE API call when it takes more time than the threshold.,STRING,,false
alluxio.fuse.mount.alluxio.path,The Alluxio path to mount to the given Fuse mount point configured by alluxio.fuse.mount.point in the worker when alluxio.worker.fuse.enabled is enabled or in the standalone Fuse process.,STRING,,false
alluxio.fuse.mount.options,"The platform specific Fuse mount options to mount the given Fuse mount point. If multiple mount options are provided, separate them with comma.",STRING,,false
alluxio.fuse.mount.point,The absolute local filesystem path that worker (if alluxio.worker.fuse.enabled is enabled)or standalone Fuse will mount Alluxio path to.,STRING,,false
alluxio.fuse.position.read.enabled,By default FUSE uses sequential reader which may have unsatisfied performance when having random read operations. Note that even user side sequential read may lead to Alluxio FUSE side small range random read behavior,STRING,,false
