cname,cvalue,ctype,cdesc,Deprecated
java.library.path,/usr/local/lib:/opt/local/lib:/usr/lib:/usr/lib64,STRING,,false
storm.local.dir,storm-local,UNKOWN,,false
storm.log4j2.conf.dir,log4j2,UNKOWN,,false
storm.zookeeper.servers,[localhost],UNKOWN,,false
storm.zookeeper.port,2181,CONSTANT_NUMERIC,,false
storm.zookeeper.root,/storm,STRING,,false
storm.zookeeper.session.timeout,20000,CONSTANT_NUMERIC,,false
storm.zookeeper.connection.timeout,15000,CONSTANT_NUMERIC,,false
storm.zookeeper.retry.times,5,CONSTANT_NUMERIC,,false
storm.zookeeper.retry.interval,1000,CONSTANT_NUMERIC,,false
storm.zookeeper.retry.intervalceiling.millis,30000,CONSTANT_NUMERIC,,false
storm.zookeeper.auth.user,,STRING,,false
storm.zookeeper.auth.password,,STRING,,false
storm.cluster.mode,distributed,UNKOWN,,false
storm.local.mode.zmq,false,BOOLEAN,,false
storm.thrift.transport,org.apache.storm.security.auth.SimpleTransportPlugin,STRING,,false
storm.thrift.socket.timeout.ms,600000,CONSTANT_NUMERIC,,false
storm.principal.tolocal,org.apache.storm.security.auth.DefaultPrincipalToLocal,STRING,,false
storm.group.mapping.service,org.apache.storm.security.auth.ShellBasedGroupsMapping,STRING,,false
storm.group.mapping.service.params,,STRING,,false
storm.messaging.transport,org.apache.storm.messaging.netty.Context,STRING,,false
storm.nimbus.retry.times,5,CONSTANT_NUMERIC,,false
storm.nimbus.retry.interval.millis,2000,CONSTANT_NUMERIC,,false
storm.nimbus.retry.intervalceiling.millis,60000,CONSTANT_NUMERIC,,false
storm.nimbus.zookeeper.acls.check,true,BOOLEAN,,false
storm.nimbus.zookeeper.acls.fixup,true,BOOLEAN,,false
storm.auth.simple-white-list.users,[],UNKOWN,,false
storm.cluster.state.store,org.apache.storm.cluster.ZKStateStorageFactory,STRING,,false
storm.meta.serialization.delegate,org.apache.storm.serialization.GzipThriftSerializationDelegate,STRING,,false
storm.codedistributor.class,org.apache.storm.codedistributor.LocalFileSystemCodeDistributor,STRING,,false
storm.workers.artifacts.dir,workers-artifacts,UNKOWN,,false
storm.health.check.dir,healthchecks,UNKOWN,,false
storm.health.check.timeout.ms,5000,CONSTANT_NUMERIC,,false
storm.disable.symlinks,false,BOOLEAN,,false
nimbus.seeds,[localhost],UNKOWN,,false
nimbus.thrift.port,6627,CONSTANT_NUMERIC,,false
nimbus.thrift.threads,64,CONSTANT_NUMERIC,,false
nimbus.thrift.max_buffer_size,1048576,CONSTANT_NUMERIC,,false
nimbus.childopts,-Xmx1024m,UNKOWN,,false
nimbus.task.timeout.secs,30,CONSTANT_NUMERIC,,false
nimbus.supervisor.timeout.secs,60,CONSTANT_NUMERIC,,false
nimbus.monitor.freq.secs,10,CONSTANT_NUMERIC,,false
nimbus.cleanup.inbox.freq.secs,600,CONSTANT_NUMERIC,,false
nimbus.inbox.jar.expiration.secs,3600,CONSTANT_NUMERIC,,false
nimbus.code.sync.freq.secs,120,CONSTANT_NUMERIC,,false
nimbus.task.launch.secs,120,CONSTANT_NUMERIC,,false
nimbus.file.copy.expiration.secs,600,CONSTANT_NUMERIC,,false
nimbus.topology.validator,org.apache.storm.nimbus.DefaultTopologyValidator,STRING,,false
topology.min.replication.count,1,CONSTANT_NUMERIC,,false
topology.max.replication.wait.time.sec,60,CONSTANT_NUMERIC,,false
nimbus.credential.renewers.freq.secs,600,CONSTANT_NUMERIC,,false
nimbus.queue.size,100000,CONSTANT_NUMERIC,,false
scheduler.display.resource,false,BOOLEAN,,false
nimbus.local.assignments.backend.class,org.apache.storm.assignments.InMemoryAssignmentBackend,STRING,,false
nimbus.assignments.service.threads,10,CONSTANT_NUMERIC,,false
nimbus.assignments.service.thread.queue.size,100,CONSTANT_NUMERIC,,false
nimbus.worker.heartbeats.recovery.strategy.class,org.apache.storm.nimbus.TimeOutWorkerHeartbeatsRecoveryStrategy,STRING,,false
nimbus.topology.blobstore.deletion.delay.ms,300000,CONSTANT_NUMERIC,,false
ui.host,0.0.0.0,STRING,,false
ui.port,8080,CONSTANT_NUMERIC,,false
ui.title,Storm UI,UNKOWN,,false
ui.childopts,-Xmx768m,UNKOWN,,false
ui.actions.enabled,true,BOOLEAN,,false
ui.filter,,STRING,,false
ui.filter.params,,STRING,,false
ui.users,,STRING,,false
ui.header.buffer.bytes,4096,CONSTANT_NUMERIC,,false
ui.http.creds.plugin,org.apache.storm.security.auth.DefaultHttpCredentialsPlugin,STRING,,false
ui.pagination,20,CONSTANT_NUMERIC,,false
ui.disable.http.binding,true,BOOLEAN,,false
ui.disable.spout.lag.monitoring,true,BOOLEAN,,false
logviewer.port,8000,CONSTANT_NUMERIC,,false
logviewer.childopts,-Xmx128m,UNKOWN,,false
logviewer.cleanup.age.mins,10080,CONSTANT_NUMERIC,,false
logviewer.appender.name,A1,UNKOWN,,false
logviewer.max.sum.worker.logs.size.mb,4096,CONSTANT_NUMERIC,,false
logviewer.max.per.worker.logs.size.mb,2048,CONSTANT_NUMERIC,,false
logviewer.disable.http.binding,true,BOOLEAN,,false
logviewer.filter,,STRING,,false
logviewer.filter.params,,STRING,,false
logs.users,,STRING,,false
drpc.port,3772,CONSTANT_NUMERIC,,false
drpc.worker.threads,64,CONSTANT_NUMERIC,,false
drpc.max_buffer_size,1048576,CONSTANT_NUMERIC,,false
drpc.queue.size,128,CONSTANT_NUMERIC,,false
drpc.invocations.port,3773,CONSTANT_NUMERIC,,false
drpc.invocations.threads,64,CONSTANT_NUMERIC,,false
drpc.request.timeout.secs,600,CONSTANT_NUMERIC,,false
drpc.childopts,-Xmx768m,UNKOWN,,false
drpc.http.port,3774,CONSTANT_NUMERIC,,false
drpc.https.port,-1,CONSTANT_NUMERIC,,false
drpc.https.keystore.password,,STRING,,false
drpc.https.keystore.type,JKS,UNKOWN,,false
drpc.http.creds.plugin,org.apache.storm.security.auth.DefaultHttpCredentialsPlugin,STRING,,false
drpc.authorizer.acl.filename,drpc-auth-acl.yaml,STRING,,false
drpc.authorizer.acl.strict,false,BOOLEAN,,false
drpc.disable.http.binding,true,BOOLEAN,,false
transactional.zookeeper.root,/transactional,STRING,,false
transactional.zookeeper.servers,,STRING,,false
transactional.zookeeper.port,,STRING,,false
supervisor.blobstore.class,org.apache.storm.blobstore.NimbusBlobStore,STRING,,false
supervisor.blobstore.download.thread.count,5,CONSTANT_NUMERIC,,false
supervisor.blobstore.download.max_retries,3,CONSTANT_NUMERIC,,false
supervisor.localizer.cache.target.size.mb,10240,CONSTANT_NUMERIC,,false
