cname,cvalue,ctype,cdesc,Deprecated
topology.scheduler.strategy,org.apache.storm.scheduler.resource.strategies.scheduling.DefaultResourceAwareStrategy,STRING,,false
resource.aware.scheduler.priority.strategy,org.apache.storm.scheduler.resource.strategies.priority.DefaultSchedulingPriorityStrategy,STRING,,false
topology.ras.constraint.max.state.search,10000,CONSTANT_NUMERIC,,false
resource.aware.scheduler.constraint.max.state.search,100000,CONSTANT_NUMERIC,,false
topology.ras.one.executor.per.worker,false,BOOLEAN,,false
topology.ras.one.component.per.worker,false,BOOLEAN,,false
blacklist.scheduler.tolerance.time.secs,300,CONSTANT_NUMERIC,,false
blacklist.scheduler.tolerance.count,3,CONSTANT_NUMERIC,,false
blacklist.scheduler.resume.time.secs,1800,CONSTANT_NUMERIC,,false
blacklist.scheduler.reporter,org.apache.storm.scheduler.blacklist.reporters.LogReporter,STRING,,false
blacklist.scheduler.strategy,org.apache.storm.scheduler.blacklist.strategies.DefaultBlacklistStrategy,STRING,,false
topology.enable.message.timeouts,true,BOOLEAN,,false
topology.debug,false,BOOLEAN,,false
topology.workers,1,CONSTANT_NUMERIC,,false
topology.acker.executors,,STRING,,false
topology.ras.acker.executors.per.worker,1,CONSTANT_NUMERIC,,false
topology.eventlogger.executors,0,CONSTANT_NUMERIC,,false
topology.tasks,,STRING,,false
topology.message.timeout.secs,30,CONSTANT_NUMERIC,,false
topology.multilang.serializer,org.apache.storm.multilang.JsonSerializer,STRING,,false
topology.shellbolt.max.pending,100,CONSTANT_NUMERIC,,false
