cname,cvalue,ctype,cdesc,Deprecated
topology.enable.message.timeouts,true,BOOLEAN,,false
topology.debug,false,BOOLEAN,,false
topology.workers,1,CONSTANT_NUMERIC,,false
topology.acker.executors,,STRING,,false
topology.ras.acker.executors.per.worker,1,CONSTANT_NUMERIC,,false
topology.eventlogger.executors,0,CONSTANT_NUMERIC,,false
topology.tasks,,STRING,,false
topology.message.timeout.secs,30,CONSTANT_NUMERIC,,false
topology.multilang.serializer,org.apache.storm.multilang.JsonSerializer,STRING,,false
topology.shellbolt.max.pending,100,CONSTANT_NUMERIC,,false
topology.skip.missing.kryo.registrations,false,BOOLEAN,,false
topology.max.task.parallelism,,STRING,,false
topology.max.spout.pending,,STRING,,false
topology.state.synchronization.timeout.secs,60,CONSTANT_NUMERIC,,false
topology.stats.sample.rate,0.05,CONSTANT_NUMERIC,,false
topology.builtin.metrics.bucket.size.secs,60,CONSTANT_NUMERIC,,false
topology.fall.back.on.java.serialization,false,BOOLEAN,,false
topology.worker.childopts,,STRING,,false
topology.worker.logwriter.childopts,-Xmx64m,UNKOWN,,false
topology.tick.tuple.freq.secs,,STRING,,false
topology.worker.shared.thread.pool.size,4,CONSTANT_NUMERIC,,false
topology.spout.wait.strategy,org.apache.storm.policy.WaitStrategyProgressive,STRING,,false
topology.spout.wait.park.microsec,100,CONSTANT_NUMERIC,,false
topology.spout.wait.progressive.level1.count,0,CONSTANT_NUMERIC,,false
topology.spout.wait.progressive.level2.count,0,CONSTANT_NUMERIC,,false
topology.spout.wait.progressive.level3.sleep.millis,1,CONSTANT_NUMERIC,,false
topology.bolt.wait.strategy,org.apache.storm.policy.WaitStrategyProgressive,STRING,,false
topology.bolt.wait.park.microsec,100,CONSTANT_NUMERIC,,false
topology.bolt.wait.progressive.level1.count,1,CONSTANT_NUMERIC,,false
topology.bolt.wait.progressive.level2.count,1000,CONSTANT_NUMERIC,,false
topology.bolt.wait.progressive.level3.sleep.millis,1,CONSTANT_NUMERIC,,false
topology.backpressure.wait.strategy,org.apache.storm.policy.WaitStrategyProgressive,STRING,,false
topology.backpressure.wait.park.microsec,100,CONSTANT_NUMERIC,,false
topology.backpressure.wait.progressive.level1.count,1,CONSTANT_NUMERIC,,false
topology.backpressure.wait.progressive.level2.count,1000,CONSTANT_NUMERIC,,false
topology.backpressure.wait.progressive.level3.sleep.millis,1,CONSTANT_NUMERIC,,false
topology.backpressure.check.millis,50,CONSTANT_NUMERIC,,false
topology.executor.overflow.limit,0,CONSTANT_NUMERIC,,false
topology.error.throttle.interval.secs,10,CONSTANT_NUMERIC,,false
topology.max.error.report.per.interval,5,CONSTANT_NUMERIC,,false
topology.kryo.factory,org.apache.storm.serialization.DefaultKryoFactory,STRING,,false
topology.tuple.serializer,org.apache.storm.serialization.types.ListDelegateSerializer,STRING,,false
topology.trident.batch.emit.interval.millis,500,CONSTANT_NUMERIC,,false
topology.testing.always.try.serialize,false,BOOLEAN,,false
topology.classpath,,STRING,,false
topology.environment,,STRING,,false
topology.transfer.buffer.size,1000,CONSTANT_NUMERIC,,false
topology.transfer.batch.size,1,CONSTANT_NUMERIC,,false
topology.executor.receive.buffer.size,32768,CONSTANT_NUMERIC,,false
topology.producer.batch.size,1,CONSTANT_NUMERIC,,false
topology.batch.flush.interval.millis,1,CONSTANT_NUMERIC,,false
topology.spout.recvq.skips,3,CONSTANT_NUMERIC,,false
topology.disable.loadaware.messaging,false,BOOLEAN,,false
topology.state.checkpoint.interval.ms,1000,CONSTANT_NUMERIC,,false
topology.localityaware.higher.bound,0.8,CONSTANT_NUMERIC,,false
topology.localityaware.lower.bound,0.2,CONSTANT_NUMERIC,,false
topology.serialized.message.size.metrics,false,BOOLEAN,,false
topology.priority,29,CONSTANT_NUMERIC,,false
topology.component.resources.onheap.memory.mb,128.0,CONSTANT_NUMERIC,,false
topology.component.resources.offheap.memory.mb,0.0,CONSTANT_NUMERIC,,false
topology.component.cpu.pcore.percent,10.0,CONSTANT_NUMERIC,,false
topology.worker.max.heap.size.mb,768.0,CONSTANT_NUMERIC,,false
topology.scheduler.strategy,org.apache.storm.scheduler.resource.strategies.scheduling.DefaultResourceAwareStrategy,STRING,,false
resource.aware.scheduler.priority.strategy,org.apache.storm.scheduler.resource.strategies.priority.DefaultSchedulingPriorityStrategy,STRING,,false
topology.ras.constraint.max.state.search,10000,CONSTANT_NUMERIC,,false
resource.aware.scheduler.constraint.max.state.search,100000,CONSTANT_NUMERIC,,false
topology.ras.one.executor.per.worker,false,BOOLEAN,,false
topology.ras.one.component.per.worker,false,BOOLEAN,,false
